episode,frame,task,subtask,point_id,point,u,v,d_rel,z_metric,in_bounds
0,0,0,1,0,root,125.41313934326172,35.25117492675781,0.6402530074119568,0.6560385823249817,True
0,0,0,1,1,left_base,107.51016235351562,58.606266021728516,0.7688958644866943,0.6862612366676331,True
0,0,0,1,2,right_base,143.53379821777344,58.61699676513672,0.7676244974136353,0.6862561106681824,True
0,1,0,1,0,root,125.43058013916016,35.26655578613281,0.638023316860199,0.6560805439949036,True
0,1,0,1,1,left_base,107.52964782714844,58.61885452270508,0.7670567631721497,0.6863125562667847,True
0,1,0,1,2,right_base,143.55052185058594,58.626251220703125,0.7665832042694092,0.686310350894928,True
0,2,0,1,0,root,125.44377136230469,35.3756103515625,0.6374462246894836,0.6562996506690979,True
0,2,0,1,1,left_base,107.55117797851562,58.70331954956055,0.7656695246696472,0.6865941286087036,True
0,2,0,1,2,right_base,143.5572509765625,58.707916259765625,0.764092743396759,0.6865932941436768,True
0,3,0,1,0,root,125.45957946777344,35.760955810546875,0.6369705200195312,0.6566201448440552,True
0,3,0,1,1,left_base,107.58167266845703,59.02021408081055,0.7668690085411072,0.6871050000190735,True
0,3,0,1,2,right_base,143.56092834472656,59.02176284790039,0.76778244972229,0.6871063113212585,True
0,4,0,1,0,root,125.21480560302734,36.13471603393555,0.6352941989898682,0.6568854451179504,True
0,4,0,1,1,left_base,107.41354370117188,59.321807861328125,0.7633658647537231,0.6877737641334534,True
0,4,0,1,2,right_base,143.36041259765625,59.26216506958008,0.7645615339279175,0.6876558661460876,True
0,5,0,1,0,root,123.90734100341797,36.61809158325195,0.6262471079826355,0.6569110751152039,True
0,5,0,1,1,left_base,106.3113021850586,59.7684326171875,0.7581691145896912,0.6883779168128967,True
0,5,0,1,2,right_base,142.23184204101562,59.53921890258789,0.7582252621650696,0.6879534721374512,True
0,6,0,1,0,root,121.4752426147461,37.67634963989258,0.5904542207717896,0.6552972793579102,True
0,6,0,1,1,left_base,104.07315826416016,60.80394744873047,0.7439977526664734,0.6872933506965637,True
0,6,0,1,2,right_base,140.0520782470703,60.4388427734375,0.7463372349739075,0.6866060495376587,True
0,7,0,1,0,root,117.04277801513672,38.998695373535156,0.5854941010475159,0.6520707607269287,True
0,7,0,1,1,left_base,99.91423797607422,62.14567947387695,0.7409864664077759,0.68464195728302,True
0,7,0,1,2,right_base,136.02969360351562,61.6307487487793,0.7480548024177551,0.68360835313797,True
0,8,0,1,0,root,110.83784484863281,40.44047927856445,0.5278820395469666,0.647800624370575,True
0,8,0,1,1,left_base,94.15201568603516,63.69517517089844,0.711844265460968,0.681031346321106,True
0,8,0,1,2,right_base,130.44503784179688,62.8887825012207,0.7158815860748291,0.6795061230659485,True
0,9,0,1,0,root,103.61933135986328,41.79928207397461,0.47164157032966614,0.6435945630073547,True
0,9,0,1,1,left_base,87.5207748413086,65.18817138671875,0.6705792546272278,0.6775909066200256,True
0,9,0,1,2,right_base,123.96627044677734,63.98340606689453,0.7004297971725464,0.6754897236824036,True
0,10,0,1,0,root,96.25975036621094,43.65108871459961,0.44993218779563904,0.6411826610565186,True
0,10,0,1,1,left_base,80.82849884033203,67.06975555419922,0.682598352432251,0.675979495048523,True
0,10,0,1,2,right_base,117.31221008300781,65.45469665527344,0.6978309154510498,0.673326313495636,True
0,11,0,1,0,root,89.92176818847656,46.62569808959961,0.4586833119392395,0.6414569616317749,True
0,11,0,1,1,left_base,75.11248779296875,69.90099334716797,0.6462175846099854,0.6769003868103027,True
0,11,0,1,2,right_base,111.49475860595703,67.96012115478516,0.6803705096244812,0.6738435626029968,True
0,12,0,1,0,root,85.17314910888672,51.036258697509766,0.47500288486480713,0.6442906260490417,True
0,12,0,1,1,left_base,70.8602294921875,73.98931884765625,0.6455910205841064,0.6801503896713257,True
0,12,0,1,2,right_base,107.02738952636719,71.85477447509766,0.6835331916809082,0.6768602728843689,True
0,13,0,1,0,root,82.37451934814453,56.47910690307617,0.4952155649662018,0.6494148969650269,True
0,13,0,1,1,left_base,68.41667175292969,78.95359802246094,0.626207172870636,0.685555636882782,True
0,13,0,1,2,right_base,104.27458953857422,76.73892974853516,0.6668691039085388,0.6821747422218323,True
0,14,0,1,0,root,81.85343170166016,62.49892807006836,0.49552860856056213,0.6560468077659607,True
0,14,0,1,1,left_base,68.10679626464844,84.42472839355469,0.5918639898300171,0.6923440098762512,True
0,14,0,1,2,right_base,103.604736328125,82.1986312866211,0.6141794919967651,0.6889272332191467,True
0,15,0,1,0,root,82.24003601074219,68.73116302490234,0.4965459108352661,0.6642775535583496,True
0,15,0,1,1,left_base,68.63143157958984,90.05194854736328,0.5724806189537048,0.7006276249885559,True
0,15,0,1,2,right_base,103.71022033691406,87.90338897705078,0.5984187126159668,0.6971855163574219,True
0,16,0,1,0,root,83.0945053100586,74.76378631591797,0.5221400856971741,0.6741876602172852,True
0,16,0,1,1,left_base,69.61686706542969,95.46507263183594,0.5884633660316467,0.7105383276939392,True
0,16,0,1,2,right_base,104.20991516113281,93.40767669677734,0.6000674366950989,0.707080602645874,True
0,17,0,1,0,root,83.9661865234375,80.39546966552734,0.524349570274353,0.6861165761947632,True
0,17,0,1,1,left_base,70.65895080566406,100.44963073730469,0.5777594447135925,0.7225033044815063,True
0,17,0,1,2,right_base,104.68177032470703,98.4803466796875,0.594622790813446,0.719020664691925,True
0,18,0,1,0,root,84.79240417480469,85.20501708984375,0.5231086015701294,0.6998981237411499,True
0,18,0,1,1,left_base,71.7177963256836,104.60758209228516,0.5680495500564575,0.7364323735237122,True
0,18,0,1,2,right_base,105.09581756591797,102.6909408569336,0.5833628177642822,0.7328869104385376,True
0,19,0,1,0,root,85.5382308959961,88.63599395751953,0.5298012495040894,0.7150588035583496,True
0,19,0,1,1,left_base,72.72783660888672,107.45736694335938,0.5805399417877197,0.7517304420471191,True
0,19,0,1,2,right_base,105.4229507446289,105.56926727294922,0.5931895971298218,0.7481020092964172,True
0,20,0,1,0,root,86.23985290527344,90.62165832519531,0.5327600836753845,0.7301185727119446,True
0,20,0,1,1,left_base,73.6219711303711,108.9754638671875,0.5748686790466309,0.7667409181594849,True
0,20,0,1,2,right_base,105.68191528320312,107.15846252441406,0.5952374935150146,0.7631613612174988,True
0,21,0,1,0,root,86.46940612792969,90.30191040039062,0.5320678949356079,0.7354009747505188,True
0,21,0,1,1,left_base,73.67401885986328,108.68768310546875,0.585019588470459,0.7710790634155273,True
0,21,0,1,2,right_base,105.5905990600586,107.02111053466797,0.5960546731948853,0.768186628818512,True
0,22,0,1,0,root,86.7254409790039,89.64471435546875,0.5320682525634766,0.7366316914558411,True
0,22,0,1,1,left_base,73.65362548828125,108.09439849853516,0.5741894245147705,0.7714681029319763,True
0,22,0,1,2,right_base,105.5950698852539,106.61573028564453,0.5971114635467529,0.7693727016448975,True
0,23,0,1,0,root,87.06172180175781,89.36314392089844,0.5340240597724915,0.7366365790367126,True
0,23,0,1,1,left_base,73.7073974609375,107.8106689453125,0.577795684337616,0.770859956741333,True
0,23,0,1,2,right_base,105.70933532714844,106.54589080810547,0.5947651267051697,0.769479513168335,True
0,24,0,1,0,root,87.13664245605469,89.00935363769531,0.5333901047706604,0.7357882261276245,True
